module,package,controller,tag,class_base_path,http_method,method_path,full_path,java_method,pre_authorize,required_feature,source,line
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,GET,/partition-cleanup/plan,/platform/archive/partition-cleanup/plan,partitionCleanupPlan,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,91
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,POST,/restore/audit-log,/platform/archive/restore/audit-log,restoreAuditLog,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,70
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,GET,/runs,/platform/archive/runs,listRuns,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,62
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,POST,/runs,/platform/archive/runs,triggerRun,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,49
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,GET,/runs/failed,/platform/archive/runs/failed,listFailedRuns,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,112
tchalanet-server,com.tchalanet.server.platform.audit.internal.web,AuditEventRestController,Platform • Audit,/platform/audit,POST,/purge,/platform/audit/purge,purgeExpiredAuditLogs,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/audit/internal/web/AuditEventRestController.java,65
tchalanet-server,com.tchalanet.server.catalog.game.internal.web,GameAdminController,,/platform/catalog/games,GET,,/platform/catalog/games,list,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/game/internal/web/GameAdminController.java,33
tchalanet-server,com.tchalanet.server.catalog.game.internal.web,GameAdminController,,/platform/catalog/games,POST,,/platform/catalog/games,create,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/game/internal/web/GameAdminController.java,49
tchalanet-server,com.tchalanet.server.catalog.theme.internal.web,ThemeAdminController,,/platform/catalog/theme-presets,GET,,/platform/catalog/theme-presets,listActive,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/theme/internal/web/ThemeAdminController.java,25
tchalanet-server,com.tchalanet.server.catalog.theme.internal.web,ThemeAdminController,,/platform/catalog/theme-presets,POST,,/platform/catalog/theme-presets,create,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/theme/internal/web/ThemeAdminController.java,42
tchalanet-server,com.tchalanet.server.catalog.theme.internal.web,ThemeAdminController,,/platform/catalog/theme-presets,GET,/overview,/platform/catalog/theme-presets/overview,overview,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/theme/internal/web/ThemeAdminController.java,37
tchalanet-server,com.tchalanet.server.platform.contactrequest.internal.web,PlatformContactRequestAdminController,Platform • Contact Requests,/platform/contact-requests,GET,,/platform/contact-requests,list,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/contactrequest/internal/web/PlatformContactRequestAdminController.java,38
tchalanet-server,com.tchalanet.server.features.pagemodel.dashboard,PlatformPageModelController,Platform • PageModel,/platform/dashboard,GET,,/platform/dashboard,platformPageModel,hasRole('SUPER_ADMIN'),,tchalanet-features/src/main/java/com/tchalanet/server/features/pagemodel/dashboard/PlatformPageModelController.java,25
tchalanet-server,com.tchalanet.server.catalog.drawchannel.internal.web,PlatformDrawChannelController,Platform • Draw Channels,/platform/draw-channels,GET,,/platform/draw-channels,list,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/drawchannel/internal/web/PlatformDrawChannelController.java,35
tchalanet-server,com.tchalanet.server.catalog.drawchannel.internal.web,PlatformDrawChannelController,Platform • Draw Channels,/platform/draw-channels,POST,,/platform/draw-channels,create,hasRole('SUPER_ADMIN'),,tchalanet-catalog/src/main/java/com/tchalanet/server/catalog/drawchannel/internal/web/PlatformDrawChannelController.java,68
